"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","004","AFG","Afghanistan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","6.46"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","008","ALB","Albania","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","3.78"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","008","ALB","Albania","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","3.76"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","008","ALB","Albania","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2017","","","","3.62"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","008","ALB","Albania","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","3.64"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","008","ALB","Albania","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","3.64"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","008","ALB","Albania","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2020","","","","3.6"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","008","ALB","Albania","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","3.64"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","008","ALB","Albania","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","3.56410845807789"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","008","ALB","Albania","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","3.53353755568379"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","008","ALB","Albania","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","3.53007832113797"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","012","DZA","Algeria","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","18.77"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","012","DZA","Algeria","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","18.87"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","012","DZA","Algeria","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2017","","","","18.81"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","012","DZA","Algeria","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","18.94"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","012","DZA","Algeria","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","18.94"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","012","DZA","Algeria","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","18.97"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","012","DZA","Algeria","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","18.8744301012531"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","024","AGO","Angola","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","11.0074850166875"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","024","AGO","Angola","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","11.4"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","024","AGO","Angola","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","11.42"
